41,d5
43,d2
45,d2
47,d6
49,d2
51,d5
53,d8
55,d1
57,d8
59,d1
61,d7
63,d8
65,d2
67,d5
69,d5
71,d7
73,d5
75,d7
77,d6
78,d7
79,d3
81,d8
83,d7
85,d5
87,d7
89,d3
91,d4
93,d4
95,d4
97,d6
99,d5
101,d1
103,d2
105,d2
107,d4
109,d4
111,d2
113,d4
115,d7
117,d7
119,d8
121,d8
123,d8
125,d5
127,d1
1,d6
129,d4
3,d5
131,d6
5,d4
133,d1
7,d4
135,d6
9,d7
137,d6
11,d8
139,d6
13,d4
141,d8
15,d7
17,d4
19,d8
21,d6
23,d2
25,d2
27,d6
29,d7
31,d4
33,d4
35,d8
37,d5
39,d6
