41,d2
43,d5
45,d4
47,d8
49,d5
51,d7
53,d1
55,d4
57,d5
59,d3
61,d3
63,d1
65,d5
67,d2
69,d7
71,d3
73,d8
75,d2
77,d8
78,d2
79,d6
81,d5
83,d2
85,d7
87,d2
89,d3
91,d1
93,d1
95,d1
97,d8
99,d7
101,d3
103,d5
105,d4
107,d7
109,d1
111,d5
113,d7
115,d2
117,d3
119,d7
121,d1
123,d5
125,d7
127,d4
1,d8
129,d1
3,d7
131,d3
5,d1
133,d4
7,d7
135,d8
9,d2
137,d8
11,d1
139,d8
13,d1
141,d8
15,d3
17,d1
19,d7
21,d8
23,d5
25,d5
27,d8
29,d2
31,d1
33,d1
35,d1
37,d2
39,d8
